,OS,Remission,pCR,pRelapse
BCL2_Squared,0.4139208878914852,0.35479424811749904,0.33329068646383186,2.0
BCL2L1_Squared,0.502974848860266,0.37125716686056115,0.4494469742227353,0.3940939551575367
BCL2L11_Squared,0.34489703921846815,0.265073243429924,0.27394863190719104,0.22904787416643813
BECN1_Squared,0.3178314895806194,0.4123804318840191,0.2926873104940047,0.2512779824867444
BID_Squared,0.30781552854626176,0.29682211681246684,0.38083204524844383,0.2629376106502479
BIRC2_Squared,0.3927432684609707,0.30533976168005494,0.31980001780135925,0.36192302004263577
BIRC5_Squared,0.4751708680145079,2.0,0.5240306334706792,0.3489971978982561
BMI1_Squared,0.42224352338307525,0.293157646234535,0.28541680651040574,0.2853285668204563
BRAF_Squared,0.43086073814599507,2.0,0.7371459749619093,0.2770339756916357
CASP3_Squared,0.540922196853839,0.3193148233057491,0.4045022768004617,0.2076889447084316
CASP3.cl175_Squared,0.3546845596417831,0.41560134228674145,0.4819905572675619,0.3271497446572017
CASP7.cl198_Squared,0.4291245289493179,0.32239303183768586,0.5645974353665215,0.291976329497116
CASP8_Squared,0.3847694106828274,0.4022610522874137,2.0,0.24824909561171954
CASP9_Squared,0.4656674506542175,0.3366370872522607,0.6530041928128328,0.2770339756916357
CASP9.cl315_Squared,0.31409747810843053,0.3491051275208628,2.0,0.26582042029962544
CASP9.cl330_Squared,0.3770740224691707,0.42618807420217475,0.4045022768004618,0.4712033359260107
CAV1_Squared,0.404132823246339,0.24237870282162763,0.31078718931133076,0.32190390327057017
CBL_Squared,0.5540309652275258,2.0,0.650162749916404,0.31419461476877647
CCNB1_Squared,0.3435072318900619,0.2992329664464539,0.25969146730888676,0.3040153368358142
CCND1_Squared,0.4157241097722609,0.3913972110019974,0.6916318583239888,0.34920825220869917
CCND3_Squared,0.39741222625996336,0.3354833237159978,0.4284360509044992,0.2770339756916357
CCNE1_Squared,0.5500696760852944,0.2863098427080476,0.5779304515391651,0.4003924030997976
CCNE2_Squared,0.5342441450408285,0.3649704118713949,0.3899405795474585,0.36782102481370105
CD44_Squared,0.3755545538156652,0.5091116443012585,0.46220142247595924,0.28391924268464297
CD74_Squared,0.40576791767013576,0.3271497446572018,0.3383080933016866,0.33663708725226066
CDK1_Squared,0.42579881384996066,0.272676040674331,0.4267037002800592,0.28738334097517415
